,post,number_of_likes,number_of_comments,caption_hashtags,date,caption,caption_length,comments
🌍 GIVEAWAY CLOSED,<Post Cc6fM8_J52Y>,2211,3786,[],29/04/22,"🌍 GIVEAWAY CLOSED 🌍 Every day presents us the opportunity to make small changes towards sustainability that make a big impact on our planet. So in celebration of Earth Month, we’re so excited to be teaming up with @fullyrawkristina, @bluejaybikes and @vitaminaswim to give one lucky winner the chance to win a prize valued at $4,295 that will support your every day sustainable lifestyle!

One winner will receive:
- 1 Bluejay Premiere Bike($3,295 value)
- $500 digital @vitaminaswim gift card
- $500 digital @oseamalibu gift card

How to enter:
1️⃣ Follow @fullyrawkristina, @bluejaybikes, @oseamalibu, and @vitaminaswim
2️⃣ Tag 3 friends in the comments below. One tag per comment. BONUS entries for each additional friend you tag!

Giveaway ends 5/1 at 11:59pm PST. For complete rules, visit http://oseamalibu.com/pages/discounts.",833,"[{'text': 'So excited for this giveaway! 🌱', 'length': 31}, {'text': 'Love', 'length': 4}, {'text': '@jannis00 @lovely.breezy @kandacetiara 🤞🏼☺️', 'length': 43}, {'text': '@givenjiri @justjarredmcgill @herlifeaspoetry ❤️😍💥🤞🏼', 'length': 52}, {'text': 'Oh my, would LOVE 😍 @thisdudebp @elyseereed @lo3cruz', 'length': 52}, {'text': '@sarak4beauty @mrsg720 @l8totheshow 🤞🤞🤞', 'length': 39}, {'text': '@natinatz3 @angelicaa26 @_leroes ✨', 'length': 34}, {'text': '@essentials_with_sara  @allisoncmusso_95 @bule_trista 😍😍😍', 'length': 57}, {'text': '@mimundoy.e @hyejinisso @carol.nails17', 'length': 38}, {'text': '@ranoumei @j.z.jz  @cnedt', 'length': 25}, {'text': '@jenniferantony @kahlah', 'length': 23}, {'text': '@herlifeaspoetry', 'length': 16}, {'text': '@rubyohruby yes 🙌🏽 this in my future. Give you a ride on my bike 😁', 'length': 66}, {'text': '@elanalahoud', 'length': 12}, {'text': '@theladyapricot ❤️', 'length': 18}, {'text': '@laserrs this stuff is truly amazing just like you!', 'length': 51}, {'text': '@richellexo', 'length': 11}, {'text': '@mykayla.01', 'length': 11}, {'text': '@kaayzzeee 🤍', 'length': 12}, {'text': '@kathryngarside1', 'length': 16}, {'text': '@yoderdebbie21', 'length': 14}, {'text': '@mirandakent.14', 'length': 15}, {'text': '@ashleyyyyyyyyyx3', 'length': 17}, {'text': '@wreakerofallhavoc', 'length': 18}, {'text': '@everythingsashii', 'length': 17}, {'text': '@kathyy_maria', 'length': 13}, {'text': '@cmurph913', 'length': 10}, {'text': 'This is amazing 😍 @yogafoyosoul', 'length': 31}, {'text': '@ashlex_p', 'length': 9}, {'text': '@14robs', 'length': 7}, {'text': '@justjarredmcgill ❤️🤞🏼', 'length': 22}, {'text': '@aidyushka ❤️', 'length': 13}, {'text': '@rave.rho', 'length': 9}, {'text': '@briamccall', 'length': 11}, {'text': '@noir_corazon', 'length': 13}, {'text': '@lorena_liz1', 'length': 12}, {'text': 'Hello Summer @pi__sea', 'length': 21}, {'text': '@adriolaruko', 'length': 12}, {'text': '@shae_shae74', 'length': 12}, {'text': '@bee.yoga', 'length': 9}, {'text': '@madisonward54', 'length': 14}, {'text': '@papi___blanco', 'length': 14}, {'text': '@laurenss_life', 'length': 14}, {'text': '@briansumner', 'length': 12}, {'text': '@caitykarrot 🌎', 'length': 14}, {'text': '@lolojello a dream 😩', 'length': 20}, {'text': '@lolokelly enter to win with me!!', 'length': 33}, {'text': '@aloveshine8 🤞🏼', 'length': 15}, {'text': '@kristinezelltv', 'length': 15}, {'text': '@olive.the.wheaten a must win', 'length': 29}]"
Our Mother's Day,<Post Cc3_11xJaf7>,2066,59,['oseamalibu'],28/04/22,"Our Mother's Day Gift Guide– featuring NEW limited-edition sets! 💝

💝 Sea Glow Starter Set:  Everything she needs to get a good night’s sleep and wake up absolutely glowing.

💝 Total Body Glow Trio: Upgrade her bathroom with these oh-so-luxe exfoliating and moisturizing must-haves.

Order by May 1 for delivery by Mother's Day! #oseamalibu

📸: @wes.orians",356,"[{'text': 'This looks DIVINE ❤️✨', 'length': 21}, {'text': 'The best duo 👏', 'length': 14}, {'text': '😍', 'length': 1}, {'text': 'What are the benefits to dry brushing?', 'length': 38}, {'text': '❤️❤️❤️❤️❤️', 'length': 10}, {'text': 'I just got my set in the mail and used for the first time yesterday! My skin feels and looks amazing and everything smells delicious. You’ve got a customer for life!', 'length': 165}, {'text': 'The perfect gift 💝', 'length': 18}, {'text': '😍😍😍', 'length': 3}, {'text': 'Perfect! 🌸💗✨', 'length': 12}, {'text': 'I signed up for emails and I haven’t received my coupon code for money off my first order. I was wanting to order right now.', 'length': 124}, {'text': 'Obsessed 😍😍😍', 'length': 12}, {'text': '😍😍', 'length': 2}, {'text': 'Want it all! ❤️', 'length': 15}, {'text': 'The mvps 😍', 'length': 10}, {'text': 'favorite ❤️❤️', 'length': 13}, {'text': 'Looks like the perfect gift😍', 'length': 28}, {'text': '😍😍😍😍❤️', 'length': 6}, {'text': 'Love these sets 🤍', 'length': 17}, {'text': 'The perfect gift for all the mamas out there 👏❤️', 'length': 48}, {'text': 'I love this 😍', 'length': 13}, {'text': '😍😍', 'length': 2}, {'text': '❤️❤️❤️', 'length': 6}, {'text': '❤️🔥🙌', 'length': 4}, {'text': '🙌🙌🙌', 'length': 3}, {'text': '@oseamalibu where can you try samples? I looks absolutely amazing on the skin', 'length': 77}, {'text': '@oseamalibu how does the body scrub compare to the body polish? Are there huge differences? Thanks!', 'length': 99}, {'text': ""@oseamalibu I just received my order!!! Can't wait to start using it. I need the Vagus mist and oil so bad!!!"", 'length': 109}, {'text': ""@oseamalibu Hi! Is there any moistirizers from your line that you'd reccommend that is safe for use on toddlers (face and body)?❤️"", 'length': 130}, {'text': 'This is the skin care I wanted to get you for Christmas @mrriggin', 'length': 65}]"
The crew is,<Post Cc1e1A7pXNH>,2537,111,['oseamalibu'],27/04/22,"The crew is all here! ✨ See any of your favorites? #oseamalibu

📸: @skin.illustrated",84,"[{'text': 'Love them all!', 'length': 14}, {'text': 'All of my favorites 😍', 'length': 21}, {'text': 'I love your brand!! I will not stop talking about it haven’t tried everything but when I can afford to splurge Im definitely running to Ulta!!!! 😍😍', 'length': 147}, {'text': '🖤🌙', 'length': 2}, {'text': 'Just brought the sample set a few days ago and I’m loving it so far! 😍', 'length': 70}, {'text': 'The hyaluronic acid and peptide cream is calling my name🤎✨', 'length': 58}, {'text': 'These are all incredible!!!', 'length': 27}, {'text': 'Love all the skin care 😍🙌', 'length': 25}, {'text': 'Mama needs', 'length': 10}, {'text': 'I’m just obsessed', 'length': 17}, {'text': 'They are all so perfect!! 🤍', 'length': 27}, {'text': 'Seaglow overnight serum is a must!', 'length': 34}, {'text': 'that hyaluronic sea serum tho 👀👀👀', 'length': 33}, {'text': 'My fave squad 😍', 'length': 15}, {'text': 'Obsessed with my Sea Serum right now! 🤍✨', 'length': 40}, {'text': 'The two on the left make my skin glow and smooth ❤️', 'length': 51}, {'text': 'All my faves here ❤️❤️', 'length': 22}, {'text': 'Beauties 😍', 'length': 10}, {'text': 'The hyaluronic sea serum is baeeeeee', 'length': 36}, {'text': 'These look heavenly!😍', 'length': 21}, {'text': 'All of them 🙌', 'length': 13}, {'text': 'that serum is incredible!!!🙌🙌🙌', 'length': 30}, {'text': 'The colors 😍', 'length': 12}, {'text': 'I need to try your products! They look 😍😍👏👏🔥', 'length': 44}, {'text': 'To hard to pick!', 'length': 16}, {'text': '😍😍😍😍', 'length': 4}, {'text': 'All of them', 'length': 11}, {'text': 'Yeppers!', 'length': 8}, {'text': 'Best products ever!!!!', 'length': 22}, {'text': 'Check your DM please', 'length': 20}, {'text': 'I just know I will fall in love with every single one🤩', 'length': 54}, {'text': 'my favorites! 😍', 'length': 15}, {'text': 'Hello there beauties! 😍', 'length': 23}, {'text': 'Beautiful 😍', 'length': 11}, {'text': 'The best 😍😍', 'length': 11}, {'text': '😍😍😍', 'length': 3}, {'text': '🤩', 'length': 1}, {'text': 'They are all perfect 🤩', 'length': 22}, {'text': 'the perfect lineup ✨', 'length': 20}, {'text': 'All of them 😍', 'length': 13}, {'text': 'So pretty! Love the packaging.', 'length': 30}, {'text': 'Love the lineup 😍', 'length': 17}, {'text': 'All of the best! 🔥', 'length': 18}, {'text': 'Ahh can’t wait to try them!!', 'length': 28}, {'text': 'UGHHHH fave!!!😍', 'length': 15}, {'text': '❤️❤️❤️❤️', 'length': 8}, {'text': '😍', 'length': 1}, {'text': '😍😍❤️', 'length': 4}, {'text': '😍😍😍', 'length': 3}, {'text': '❤️❤️❤️', 'length': 6}]"
300K followers AND,<Post CczA6TDJiit>,1237,138,[],26/04/22,"300K followers AND a new member of our family 💙🌊 So grateful for our incredible community and so in love with baby Beaux 💫 Thank you for sharing the OSEA journey with us! 🙌

With love, The OSEA Family",200,"[{'text': 'love this!', 'length': 10}, {'text': 'Congratulations 💛✨', 'length': 18}, {'text': 'Sooo sweet! 🥰 Big congratulations!!', 'length': 35}, {'text': 'Awe congrats!! You are the best ❤️', 'length': 34}, {'text': 'Congrats!! 🙌', 'length': 12}, {'text': 'Awwww congratulations! Welcome to the world little one !!!!!❤️❤️❤️', 'length': 66}, {'text': 'This is amazing! Congratulations beautiful family! Love you all❤️❤️❤️❤️❤️❤️❤️❤️', 'length': 79}, {'text': 'Awwwww congratulations guys! 🥂', 'length': 30}, {'text': 'Oh what a beautiful little one ❤️❤️❤️ Congrats you wonderful family!', 'length': 68}, {'text': 'Awww congrats! ❤️❤️❤️', 'length': 21}, {'text': 'Love love love this.', 'length': 20}, {'text': 'Congratulations! ❤️', 'length': 19}, {'text': '❤️❤️❤️❤️❤️❤️❤️❤️', 'length': 16}, {'text': 'Absolutely in LOVE 💕 Congratulations everyone 💖', 'length': 47}, {'text': 'Oh Hi Beaux 😍', 'length': 13}, {'text': 'Sweet little Beaux!', 'length': 19}, {'text': '🎉🎉🎉', 'length': 3}, {'text': 'What a sweetheart! Congrats and welcome little one. 💕', 'length': 53}, {'text': '💙💙💙💙💙', 'length': 5}, {'text': '❤️❤️❤️ Congratulations', 'length': 22}, {'text': 'Aww 💙💙💙congratulations', 'length': 22}, {'text': '😍Congratulations ❤️', 'length': 19}, {'text': 'Congratulations beautiful familia 💛💛💛', 'length': 37}, {'text': 'Absolutely beautiful:) Congratulations and thank you for sharing. ❤️', 'length': 68}, {'text': 'Now please make a baby line (but keep it affordable!)', 'length': 53}, {'text': 'omg!! baby osea \U0001f979🖤 haha. in all seriousness, congratulations!!! 💓', 'length': 65}, {'text': 'Love ❤️❤️❤️❤️', 'length': 13}, {'text': 'Congrats! It’s well deserved 😍', 'length': 30}, {'text': '❤️ beautiful family, love from Portugal 🌹', 'length': 41}, {'text': 'Congratulations @oseamalibu fam!', 'length': 32}, {'text': 'Congratulations!', 'length': 16}, {'text': 'So adorable!! Congratulations 😍🤍', 'length': 32}, {'text': '❤️❤️', 'length': 4}, {'text': 'Yayyyy! Deserve all the love 😍', 'length': 30}, {'text': 'Congratulations! So beautiful', 'length': 29}, {'text': 'Congratulations 👏', 'length': 17}, {'text': 'Congrats!!! 😍😍😍😍', 'length': 16}, {'text': 'Awwwwwwww congrats ❤️', 'length': 21}, {'text': 'Why hello gorgeous little baby Beaux \U0001f979💕', 'length': 39}, {'text': 'Aww❤️ Congrats! I absolutely adore your products. All of them!', 'length': 62}, {'text': 'Oh what a little sweetie!!', 'length': 26}, {'text': 'Congratulations 👏❤️', 'length': 19}, {'text': 'Woo! Congrats!!!', 'length': 16}, {'text': 'Awww  congratulations 🧸🧸🤍', 'length': 25}, {'text': 'precious 💙', 'length': 10}, {'text': 'Congrats 😍 🎈', 'length': 12}, {'text': '🙌🙌🙌🙌', 'length': 4}, {'text': 'Congrats!', 'length': 9}, {'text': '❤️', 'length': 2}, {'text': 'Do you think you might have a mama’s day sale? Or promotion?', 'length': 60}]"
Seabiotic® Water Cream:,<Post CcyOvDbvHKk>,1726,50,['oseamalibu'],25/04/22,"Seabiotic® Water Cream: The light-as-air, hydrating backbone of your skincare routine. Clinically proven to hydrate for 72+ hours. For summertime or anytime 💧 🌊

Get yours now via our link in bio! #oseamalibu",208,"[{'text': 'Pretty!', 'length': 7}, {'text': 'Ooh I’ll have try this! 😍', 'length': 25}, {'text': 'Favorite 😍', 'length': 10}, {'text': 'On my list when I run out of my current! ❤️\u200d🔥', 'length': 45}, {'text': 'What would you recommend for evening and/or daytime under eye cream?', 'length': 68}, {'text': 'Ohhh this sounds so so lovely', 'length': 29}, {'text': 'Amazing moisturizer 🧴 we highly recommend', 'length': 41}, {'text': 'Literally my favorite cream ever!! Loooove it.', 'length': 46}, {'text': 'Love this ❤️', 'length': 12}, {'text': 'so so smooth 😍', 'length': 14}, {'text': 'Need to try this cream. 😍', 'length': 25}, {'text': 'the besssssst. obsessed.', 'length': 24}, {'text': ""This is fabulous! It absorbs quickly & doesn't leave your face feeling like it has a layer of grease or worse, cellophane on it. I highly recommend this for all ages."", 'length': 166}, {'text': '😍😍😍', 'length': 3}, {'text': '🙌🙌🙌', 'length': 3}, {'text': '🔥🔥🔥', 'length': 3}, {'text': 'Pp', 'length': 2}, {'text': 'This is my holy grail!!!’', 'length': 25}, {'text': 'My faaaavvveee ❤️', 'length': 17}, {'text': 'You got me at hydrating! 😍✨', 'length': 27}, {'text': 'It’s my new fav obsession 🔥❤️', 'length': 29}, {'text': 'Wow 72 hours 👀👀😮', 'length': 16}, {'text': 'I love this stuff!!', 'length': 19}, {'text': '😍', 'length': 1}, {'text': 'Two of my fav things… @oseamalibu  and @redaspenlove nails. 😍😍', 'length': 62}, {'text': '@kylierightnow your fav!', 'length': 24}, {'text': '@oseamalibu when will this be back in stock??❣️', 'length': 47}, {'text': 'Promote it on @california._vibes', 'length': 32}, {'text': '@oseamalibu PLZ CHECK YOUR DM ❤️', 'length': 32}, {'text': '@oseamalibu ❤️❤️❤️', 'length': 18}, {'text': 'I’m paying off the debts of first 5 people to message me 🇺🇸🇨🇦', 'length': 61}]"
Unbelievably glowing skin,<Post CcwKTbVpo3o>,554,29,['oseamalibu'],24/04/22,"Unbelievably glowing skin ✨ Courtesy of our beloved Undaria Algae Body Oil 💝 #oseamalibu 

📸: @deeofalltrades",109,"[{'text': 'This body oil is everything! 🙌🏼🙏🏼🙏🏼🙏🏼', 'length': 37}, {'text': 'I want to try this.', 'length': 19}, {'text': '❤️❤️❤️', 'length': 6}, {'text': 'Gold in a bottle', 'length': 16}, {'text': 'My favorite body oil 💕', 'length': 22}, {'text': 'Looks amazing', 'length': 13}, {'text': '🙌🙌', 'length': 2}, {'text': '☀️☀️☀️☀️☀️', 'length': 10}, {'text': '✨✨✨', 'length': 3}, {'text': '🤎🤎🤎🤎', 'length': 4}, {'text': '🙌🙌🙌', 'length': 3}, {'text': 'Really want to try this 🤍', 'length': 25}, {'text': 'Does the oil help with dark marks?', 'length': 34}, {'text': 'I’m paying off the debts of first 5 people to message me 🇺🇸🇨🇦', 'length': 61}, {'text': '@premiumality THIS body oil > The tanning oil. You have to try it', 'length': 65}]"
Complete your shelfie,<Post CbndkYYpmUc>,4828,91,"['wakeupglowing', 'oseamalibu']",27/03/22,"Complete your shelfie with our NEW Seaglow Overnight Serum AHA Treatment 🌙 #WakeUpGlowing #oseamalibu

📸: @alyssamjulian",120,"[{'text': 'What a perfect shelfie 🤍', 'length': 24}, {'text': 'Must try the cleansing 🥛 & the serum 😍 love the other two I use them daily ❤️', 'length': 77}, {'text': 'What a collection 😍', 'length': 19}, {'text': 'Hi! My face wash turned a dark green color and my body balm started having these granules in them…did they go bad??', 'length': 115}, {'text': 'Looks like my bathroom ❤️', 'length': 25}, {'text': 'What a beautiful post! May you be blessed with a smile on your face and laughter for your day. God bless you all with peace, tranquility and good will.\nEnjoy your day love!', 'length': 172}, {'text': '😍😍😍', 'length': 3}, {'text': 'Obsessed', 'length': 8}, {'text': '😍😍😍', 'length': 3}, {'text': 'Loving this new one!!!!!!', 'length': 25}, {'text': 'literally the perfect shelfie ❤️', 'length': 32}, {'text': '🌙', 'length': 1}, {'text': 'We love a good skincare routine🤍🏹', 'length': 33}, {'text': 'In love 😍', 'length': 9}, {'text': 'I am totally in love with your sea mist spray I would love to feature on my page', 'length': 80}, {'text': 'All my favorites ❤️', 'length': 19}, {'text': 'My new favorites! 😍🙌', 'length': 20}, {'text': 'Such a good lineup!!', 'length': 20}, {'text': 'I love your products! I especially love the facial products! ❤️❤️❤️❤️', 'length': 69}, {'text': 'Love love love Osea products!!!', 'length': 31}, {'text': 'I just ordered the overnight serum and excited to try it.', 'length': 57}, {'text': 'Love this. So beautiful 😍❤️', 'length': 27}, {'text': 'Love them allllll', 'length': 17}, {'text': 'She just fits in so perfectly', 'length': 29}, {'text': 'So many amazing products 😍', 'length': 26}, {'text': 'The prettiest shelf!', 'length': 20}, {'text': '❤️', 'length': 2}, {'text': 'Oh Osea!! What are doing in my bathroom!  This looks like my “favorites” closet! #oseamalibu', 'length': 92}, {'text': 'Shelf goals!!!!😍', 'length': 16}, {'text': 'Loving this shelfie❤️❤️❤️', 'length': 25}, {'text': 'Ooo what do I get for being the 777th like?! 😆\n\nCan’t wait to try this!', 'length': 71}, {'text': 'We love an Osea shelf', 'length': 21}, {'text': '🙌🙌🙌', 'length': 3}, {'text': 'Sent you a dm 😍💌', 'length': 16}, {'text': 'All my favorites 😍😍😍', 'length': 20}, {'text': 'Le dream!😍', 'length': 10}, {'text': '🔥Yes!!', 'length': 6}, {'text': 'If I had a medicine cabinet, this would all be in it 😍', 'length': 54}, {'text': 'Aesthetic 💯💚', 'length': 12}, {'text': 'Medicine cabinet goals 😍', 'length': 24}, {'text': ""What's the best @oseamailbu product to start with?"", 'length': 50}, {'text': 'Wishlist item for sure 😍', 'length': 24}, {'text': 'Yeahhhhh need', 'length': 13}, {'text': 'What a line up 🥰🥰', 'length': 17}, {'text': 'Shelfie goals af', 'length': 16}]"
Hot girls and,<Post Ccq-YKFjepm>,3177,168,['oseamalibu'],22/04/22,"Hot girls and boys upcycle 🌎 ♻️ Here are some clever tips on how to reuse your empties from our friend @alyssamjulian ☀️

1. Be sure to clean thoroughly before repurposing ♻️

2. Reuse any lidded jar for kitchen storage (like spices!) or for storing salts on the go. 

3. Repurpose empty spray bottles into DIY room sprays! Use 1.5 oz of distilled water, 1.5 oz vodka, essential oils of your choice. Add to bottle, give it a shake, and spritz freely! 

4. Use any size bottle to grow new plant pals 🌱 Simply cut on an angle and add to filtered water, then watch them grow! 

5. Create your own DIY infused olive oil. Chop 1 clove of garlic (could also use herbs!) and add to bottle with oil. Close the lid and let it do its thing!

What are some of your favorite ways to upcycle your empties? Let us know below! 👇 #oseamalibu",825,"[{'text': '👏👏👏', 'length': 3}, {'text': 'Omg I’m imagining accidentally slathering myself with garlic-infused olive oil 😂😂😂', 'length': 82}, {'text': 'Love this so much ❤️', 'length': 20}, {'text': 'Love these ideas! 😍', 'length': 19}, {'text': 'Love these ideas!', 'length': 17}, {'text': 'Yaaasss! I save all my bottles from you. They are far too beautiful to recycle!', 'length': 79}, {'text': 'I need to know the name of the black woman in your commercials. She’s a queen!!!', 'length': 80}, {'text': 'I use the travel size squeeze bottles for hand sanitizer 🤩', 'length': 58}, {'text': '🙌🙌🙌', 'length': 3}, {'text': 'I needed this!!', 'length': 15}, {'text': 'Could you sell replacements without shipping glass?', 'length': 51}, {'text': 'Still hoping you’ll do refill options someday 🙏 refill is the future!', 'length': 69}, {'text': 'I have been saving bottles not knowing what to do with them 💙 the small bottles from the sets are perfect to refill for travel!', 'length': 127}, {'text': 'I’m just going to say it, make a refillable option to reuse our bottles 🙌', 'length': 73}, {'text': 'Love these tips!!! 🌱', 'length': 20}, {'text': 'I make my own vegan lip balm and use old Advanced Protection Cream jars to contain my lip balm in the most chic and eco-friendly way ☺️', 'length': 135}, {'text': 'This is such a great reminder!! I am always sad to throw out beautiful packaging 😢', 'length': 82}, {'text': 'Love all these ideas!', 'length': 21}, {'text': 'Ooh love this! 💙 Just ran out of everything you gifted me last year and for sure DIYing a body oil and some other fun things too', 'length': 128}, {'text': 'I kid you not, I have at least 30 bottles right now. I live in PA, and had trips planned for CA during the pandemic but kept canceling them for obvious reasons haha - but I was planning to bring them all with me to return to the skincare studio! But this is a great way to utilize some of them!', 'length': 294}, {'text': 'I repurpose my mist bottle to fill with water and use it to freshen up my curls between washes! 🙃👩🏻\u200d🦱', 'length': 101}, {'text': 'Oooo I love this so much 👏', 'length': 26}, {'text': '❤️\u200d🔥', 'length': 4}, {'text': 'Beautiful ❤️❤️', 'length': 14}, {'text': 'Yess giving me ideas on how to repurpose my bottles. I’ve been saving mine to reuse 😍', 'length': 85}, {'text': 'What’s the possibility of a bottle return program, something similar to what @plaineproducts does?', 'length': 98}, {'text': 'Love this! Thank you for taking the time to make a post like this for us @oseamalibu and planet lovers ❤️', 'length': 105}, {'text': 'I bring mine into @oseamalibu Venice skin care studio for credit towards a facial', 'length': 81}, {'text': 'Wish locals could refill our bottles with more @oseamalibu product!', 'length': 67}, {'text': 'I refill the pumps with @pipettebaby hand sanitizer. Prefer the glass over single use plastic bottles.', 'length': 102}, {'text': '😍😍😍', 'length': 3}, {'text': '😍😍😍 I’m a repurpose queen', 'length': 25}, {'text': 'Yes to all of this!! But how did you know I had my pothos propagating in my old serum bottle!? 😂', 'length': 96}, {'text': '😍😍😍', 'length': 3}, {'text': 'Almost done with my sea boost and this is exactly what I needed to see!', 'length': 71}, {'text': 'Love these😍', 'length': 11}, {'text': 'I love all these ideas!', 'length': 23}, {'text': 'Do you guys take back the empties?', 'length': 34}, {'text': 'Love this 😂🙌', 'length': 12}, {'text': 'Totally save all my osea bottles and containers and have used them for sooo many things!!', 'length': 89}, {'text': 'I refilled my empty Osea body oil bottle with my own oils but did order more.  Because OMG I can’t live without it!!!! ❤️❤️❤️❤️', 'length': 127}, {'text': 'Used my oil bottle for liquid hand soap ♻️ 💚', 'length': 44}, {'text': 'The pump bottle is now being used as a dish soap dispenser ✨ 😎', 'length': 62}, {'text': 'Best post ever ❤️🌱', 'length': 18}, {'text': 'Love this!', 'length': 10}, {'text': 'I use mine for liquid hand soap, body wash, shampoo, lotion and more! ☺️', 'length': 72}, {'text': 'That’s great 🙌🙌', 'length': 15}, {'text': 'Happy earth day! 🌎💚🦋🌼✨', 'length': 22}, {'text': 'This is great advice ❤️❤️❤️', 'length': 27}, {'text': 'Ommmmmmg i love this', 'length': 20}]"
As a brand,<Post CcqatsNJfAZ>,910,40,['oseamalibu'],22/04/22,"As a brand inspired by the ocean, we have a distinct duty to protect our deepest source. Caring for our planet has been a core part of our ethos since 1996. But in 2021 we took our commitment to the next level by becoming Climate Neutral. We are now a Climate Neutral Certified brand with @beclimateneutral because sustainability efforts are no longer optional 🌎 

So how did we get here? 🤔

1. We measured our carbon footprint
2. Offset it via carbon credits
3. Created a plan to reduce our future carbon emissions

What we did to reduce our 2021 emissions:
✔️Transitioned all of our product cartons to 100% FSC certified paper.
✔️ Reduced excess waste by removing paper inserts from our product unit boxes.
✔️ Increased the percentage of eco-friendly materials for all our product’s packaging.
✔️ Reduced our consumption by switching our office + skincare studio to 100% green energy sources.

What we are doing to reduce our 2022 emissions:
✔️Transition our pumps and lids to post-consumer materials.
✔️Increase the percentage of PCR paper used.
✔️Reduce excess waste in each customer shipment through improved sizing logic & removing printed materials.

Learn more via our link in bio! #oseamalibu",1201,"[{'text': 'Happy Earth Day!', 'length': 16}, {'text': '😍😍', 'length': 2}, {'text': ""I love you guys!! Are you planning on offering refills at any point? That way I could just refill my jars and keep reusing them? I'm sure coming up with a plastic free way to do that with liquids would be super hard, just wasn't sure if you guys had magicked something up?"", 'length': 272}, {'text': 'Wish I was there now! 😍', 'length': 23}, {'text': 'Just one of the many things I love about @oseamalibu ❤️🌎', 'length': 56}, {'text': 'The ocean waves touch shores around the world, but no waves sound as sweet, calming or wonderful as Malibu beaches.  The tumble of rocks under the waves is my favorite sound.  Thank for posting.  We adore you’re products. ❤️', 'length': 224}, {'text': 'loving your brand ethics so much! 🤗❤️', 'length': 37}, {'text': 'I really appreciate the transparency ❤️', 'length': 39}, {'text': '😍..... I would like to be there and relax..... hope summer come soon....🥰🙂', 'length': 74}, {'text': 'Wow I love that you shared this with us! Great job!! Made me fall in love with the brand even more!', 'length': 99}, {'text': '👏👏👏 🌊💙🌏', 'length': 7}, {'text': 'Love this ❤️', 'length': 12}, {'text': 'Love this and love OSEA 🤍 Happy Earth Day! 🌎', 'length': 44}, {'text': '😍😍😍', 'length': 3}, {'text': 'Ahhh so peaceful 😍', 'length': 18}, {'text': '💓❤️🔥❤️💓', 'length': 7}, {'text': 'Happy 🌎 day ❤️', 'length': 14}, {'text': '🙌🙌🙌', 'length': 3}, {'text': '💙💙', 'length': 2}, {'text': 'Yessssssssssss', 'length': 14}]"
Sunshine in a,<Post Ccog_eXp41g>,2324,70,[],22/04/22,"Sunshine in a bottle ☀️ Undaria Algae Body Oil doesn't just transform skin to silky, soft and unbelievably glowing, it also smells like a citrusy paradise. Ahhh...

📸: @frombianca",179,"[{'text': 'THIS IS EVERYTHING 😍', 'length': 20}, {'text': 'My fave product ever!!!', 'length': 23}, {'text': 'The best 🙌🙌🙌✨✨✨', 'length': 15}, {'text': 'Need ✨️ 😍', 'length': 9}, {'text': 'My favorite product EVER', 'length': 24}, {'text': 'This oil just looks so good. I need this in my life 😫', 'length': 53}, {'text': 'This was a game changer for my skin, just ordered my second bottle ❤️👏', 'length': 70}, {'text': ""My new favorite 😍😍😍😍....this oil is so amazing....if you haven't purchased it yet, what the hell are you waiting for"", 'length': 116}, {'text': 'Need to try this 😍', 'length': 18}, {'text': 'I am  newbie and Loving the oil and the body cream....smells incredible.. ❤️', 'length': 76}, {'text': '😍😍😍', 'length': 3}, {'text': 'Literally my skins favorite product!!!! We can’t keep it at stock at Nordstrom 12 Oaks Mall!!!', 'length': 94}, {'text': 'Glowing 😍', 'length': 9}, {'text': 'Everyone needs this', 'length': 19}, {'text': 'Just ordered! Can’t wait to try it soon! 💫', 'length': 42}, {'text': 'My mom got me the travel size starter pack for Christmas and I’m OBSESSED 😍.', 'length': 76}, {'text': 'Seriously the best body oil ever 😍', 'length': 34}, {'text': 'I just tried this, it has become a must have', 'length': 44}, {'text': 'Where can I buy Osea in Europe?', 'length': 31}, {'text': 'Love these products ❤️', 'length': 22}, {'text': 'Definitely need 🤩✨', 'length': 18}, {'text': 'My fave!!!!!!!!', 'length': 15}, {'text': 'Yesss!! That oil is everything!!!', 'length': 33}, {'text': '❤️❤️❤️🔥🔥🔥', 'length': 9}, {'text': ""I'm digging it"", 'length': 14}, {'text': 'I LOVE this oil!!!!!😍', 'length': 21}, {'text': 'Best stuff on the planet!', 'length': 25}, {'text': '🥰🥰🥰', 'length': 3}, {'text': '😍😍😍', 'length': 3}, {'text': '@oseamalibu I sent u a DM! :) ❤️', 'length': 32}, {'text': '🙌🙌🙌', 'length': 3}, {'text': '@gigante_guapo', 'length': 14}, {'text': 'I wish I can jump into a pool of undaria oil', 'length': 44}, {'text': 'Ooooooooh A MUST HAVE', 'length': 21}]"
